Gaia_eDR3_ID,teff,dteff,logg,dlogg,feh,dfeh,SNR_B,SNR_G,SNR_R,SNR_IR,A_Li,err_A_Li,Li_EW_significance,br_ref,err_br_ref,br_tar,err_br_tar,RV,RV_flag,RV_B,RV_V,RV_R,RV_IR,Gmag,Vmag,err_Vmag,plx,err_plx,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,MedianFlux,MedianSigma,teff_nc,dteff_nc,logg_nc,dlogg_nc,feh_nc,dfeh_nc,age_mp,age_ll1s,age_ul1s,age_ll2s,age_ul2s,age_mean,age_std,mass_mp,mass_ll1s,mass_ul1s,mass_ll2s,mass_ul2s,mass_mean,mass_std,logl_mp,logl_ll1s,logl_ul1s,logl_ll2s,logl_ul2s,logl_mean,logl_std,mv_mp,mv_ll1s,mv_ul1s,mv_ll2s,mv_ul2s,mv_mean,mv_std,r_mp,r_ll1s,r_ul1s,r_ll2s,r_ul2s,r_mean,r_std,P_ST,P_SA,P_ST_nc,P_SA_nc
6197837064552613376,5683.0,48.7,4.4487,0.0353,-0.05327,0.02725,30.9,46.5,54.7,53.2,0.97929,0.20056,-0.96873,4.94031,0.00927,5.13517,0.05882,-69.93133,FFFF,-67.61175367876275,-68.2839932068194,-71.07172265653855,-70.6843363182719,13.41,13.557855711179773,0.002776,1.921,0.02022122295571644,509.50476,503.36127,514.7126,510.40128,504.198,516.5674,10511.2,194.79,5696.4,44.7,4.4806,0.0676,-0.04462,0.0297,4.8,2.274,7.082,0.519,9.001,4.638,2.231,0.98,0.955,1.003,0.932,1.025,0.977,0.023,-0.08,-0.116,-0.019,-0.147,0.048,-0.057,0.05,5.0,4.863,5.125,4.698,5.223,4.995,0.128,0.94,0.908,1.003,0.886,1.084,0.966,0.051,0.568655913301301,0.9999936187919088,0.6837062919439816,0.9999997396397815
6005400878757229312,5795.4,169.7,4.4389,0.1193,-0.49085,0.1007,37.6,67.1,78.9,62.1,1.31379,0.32389,-0.30539,4.90586,0.01217,4.23967,0.1008,16.4725,FFFF,16.902938419690688,17.07099830170485,14.214344531307711,14.13686726365438,13.42,13.554659552310213,0.002764,1.759,0.018518907855356852,553.8964,548.5163,560.4119,555.19336,550.5498,560.95166,12335.1,157.39,5802.4,156.0,4.3436,0.2283,-0.49558,0.09879,10.0,5.464,12.958,1.603,14.654,8.896,3.504,0.87,0.825,0.944,0.781,1.046,0.895,0.069,-0.04,-0.172,0.221,-0.293,0.499,0.047,0.206,4.92,4.273,5.286,3.567,5.61,4.744,0.525,0.88,0.815,1.191,0.756,1.713,1.082,0.274,2.129971378136102E-5,0.027651386765937695,8.71588678044779E-6,0.02085509355635683
6197632795908142208,5727.2,43.1,4.268,0.0405,0.17229,0.02072,38.0,50.3,65.4,54.3,1.33612,0.13859,1.6313,4.85017,0.00948,4.71499,0.04597,39.88305,FFFF,39.44018964594494,39.83232937064466,36.95729578140005,39.58322833823227,13.46,13.607758654928048,0.002765,1.5832,0.01942424126049925,614.1586,607.11755,621.71484,615.0218,606.6908,621.42975,14048.9,217.53,5698.2,39.6,4.1872,0.0775,0.16999,0.02396,7.8,6.473,8.532,5.351,9.281,7.39,1.02,1.07,1.042,1.108,1.015,1.155,1.078,0.035,0.22,0.153,0.313,0.077,0.429,0.235,0.083,4.29,4.057,4.463,3.783,4.656,4.247,0.211,1.31,1.226,1.462,1.128,1.662,1.355,0.13,1.822999261470004E-4,0.9999999918163751,3.519962172088386E-4,0.9729087463733816
6199280345362953216,6001.9,107.3,4.457,0.0932,-0.82469,0.07964,22.2,35.2,44.5,35.8,1.84799,0.16035,1.05116,5.53707,0.03716,7.65817,0.34987,-8.6881,FFFT,47.89165885579028,45.52266213787961,48.32877140644622,47.89165885579028,13.47,13.597524787256445,0.00289,1.4532,0.018967069744875515,670.0235,661.0843,679.46936,670.3942,661.9541,677.40344,5440.6,123.31,6043.8,98.6,4.2558,0.1782,-0.8,0.0726,9.1,6.255,11.35,2.397,13.607,8.688,2.682,0.88,0.839,0.93,0.801,1.002,0.888,0.051,0.1,-0.025,0.309,-0.127,0.542,0.167,0.173,4.58,4.061,4.91,3.471,5.182,4.439,0.436,1.01,0.892,1.293,0.816,1.692,1.136,0.238,5.236358649457656E-21,1.8832297018046902E-11,6.0996006966582456E-24,1.803110636897502E-12
6007050356656803072,6041.1,81.9,4.3366,0.0655,-0.28299,0.04817,17.5,24.8,34.1,25.5,2.22533,0.11021,5.92717,5.20174,0.01077,6.87796,0.15233,-102.60578,FFFT,36.623033242663155,36.98716298702718,34.114426875138506,36.62303324266316,13.49,13.634389427417611,0.00277,1.4571,0.016963419201226484,667.45734,661.5537,674.13416,667.0293,660.1544,674.05963,4276.1,127.77,5963.0,75.2,4.0976,0.1252,-0.34881,0.04961,7.3,5.963,8.712,4.344,10.199,7.351,1.426,1.01,0.965,1.088,0.924,1.197,1.037,0.069,0.36,0.215,0.523,0.08,0.702,0.375,0.154,3.83,3.458,4.245,3.019,4.605,3.89,0.389,1.4,1.198,1.695,1.035,2.088,1.475,0.265,1.3954448885460595E-6,0.4247343936055912,4.124368698399961E-9,0.1079426634576052
6005491455328471168,6029.9,55.2,4.4483,0.0407,-0.43997,0.03661,33.5,46.1,55.8,42.5,2.29258,0.07544,8.30139,5.00877,0.01149,5.1345,0.09154,32.56752,FFFF,33.805876839381376,34.1419966034097,31.271557968876966,33.92848143277051,13.51,13.614718865406976,0.002778,1.5398,0.017500134085191837,634.64874,627.6905,641.05963,631.1785,624.535,637.3364,9477.6,170.39,6002.4,50.7,4.2788,0.0779,-0.47422,0.03634,7.9,6.535,8.916,4.402,9.942,7.621,1.334,0.95,0.926,0.981,0.901,1.015,0.957,0.028,0.17,0.094,0.267,0.022,0.362,0.189,0.085,4.42,4.17,4.605,3.925,4.772,4.364,0.216,1.16,1.05,1.277,0.968,1.41,1.159,0.112,1.97087352132442E-23,6.0747399783377525E-5,1.4995603948213205E-27,9.150195080836233E-7
6005511830653970176,5529.6,101.1,4.3141,0.09,0.00938,0.05193,24.4,38.3,49.0,43.9,1.24453,0.23691,3.29985,4.99079,0.00942,5.12887,0.05743,18.40862,FFFF,19.72009482297247,19.91616468532233,17.057213437569253,16.964240716385255,13.52,13.668163377041104,0.002763,1.7152,0.024645164612766543,570.0519,562.44147,577.7351,568.91113,561.5016,575.81165,8429.4,174.15,5525.9,92.9,4.3098,0.1723,0.01749,0.05752,11.3,6.783,13.363,2.137,14.694,9.585,3.327,0.93,0.895,0.979,0.863,1.062,0.944,0.051,-0.11,-0.188,0.107,-0.262,0.357,0.001,0.162,5.1,4.568,5.335,3.947,5.543,4.878,0.412,0.97,0.9,1.226,0.85,1.645,1.117,0.222,0.06010780476943782,0.7198122909937466,0.033441126473730286,0.6822628700524794
6005514304555147392,6200.4,41.3,4.4187,0.032,-0.02342,0.02361,29.0,43.2,55.8,49.7,2.33867,0.06649,7.16154,5.01748,0.01015,5.92873,0.06713,-42.70167,FFFF,-42.257346049226726,-42.677495754262125,-42.643033593923136,-42.41060179096314,13.52,13.62681104090855,0.002764,1.111,0.018493056228645874,870.56775,856.0413,881.7782,866.35596,852.8643,879.8967,11697.5,211.74,6124.0,38.0,4.2318,0.0612,-0.08879,0.02593,3.8,3.381,4.559,2.618,5.367,4.022,0.649,1.16,1.128,1.208,1.1,1.256,1.172,0.04,0.39,0.293,0.468,0.218,0.533,0.38,0.083,3.93,3.654,4.107,3.467,4.276,3.842,0.207,1.39,1.245,1.525,1.145,1.633,1.393,0.13,1.013116231173145E-15,0.0010584752691613823,5.539291855435579E-12,0.09180502207908121
6197631833835472640,5688.0,112.4,4.5383,0.0674,0.02414,0.06462,36.0,49.5,64.7,53.1,1.4344,0.21323,1.8065,4.87152,0.00947,4.47758,0.05353,35.9419,FFFF,36.623033242663155,36.98716298702718,34.114426875138506,36.755854885501385,13.53,13.668020067819594,0.002765,1.5756,0.0181768054004126,617.5561,611.60986,624.1685,618.28217,612.5894,623.53577,13540.3,211.62,5740.4,103.3,4.6582,0.129,0.0619,0.07185,2.0,0.796,5.311,0.205,8.511,3.634,2.315,1.01,0.968,1.054,0.927,1.098,1.011,0.043,-0.03,-0.111,0.046,-0.185,0.15,-0.04,0.079,4.93,4.728,5.14,4.478,5.337,4.946,0.21,0.96,0.915,1.036,0.875,1.153,0.985,0.07,0.4063817971176599,0.9731976296877478,0.20005521447295999,0.9177839770790261
6197729759089468672,5676.4,38.2,4.4471,0.0283,-0.29773,0.02267,34.1,51.6,60.8,60.1,1.36191,0.13381,1.9971,4.80666,0.01006,4.92528,0.05625,-2.83213,FFFF,-2.8171564032817815,-2.8451663836174754,-2.8428689062615424,-2.827373452730876,13.55,13.723433531356976,0.002793,1.9666,0.043651875753379143,497.8774,487.46478,507.893,494.83417,483.934,507.08267,12308.4,204.44,5687.0,35.1,4.434,0.0542,-0.29801,0.02326,8.6,5.795,10.451,2.889,12.044,7.91,2.325,0.9,0.882,0.922,0.863,0.945,0.904,0.02,-0.08,-0.127,-0.025,-0.166,0.03,-0.073,0.05,5.05,4.914,5.171,4.772,5.276,5.044,0.127,0.94,0.894,1.0,0.858,1.062,0.952,0.053,9.083848195787032E-19,0.5660869998084961,6.805694863848163E-18,0.5596757361187584
